Name,Price in Rupees, Price is Dollars ,Link
The Metal Card," INR 1,722.49 ", $19.00 ,https://cdn.hackclub.com/019c5682-2554-7b09-9ec2-c3ad8d57eba1/image.png
Ntag216 Nfc Sticker, INR 284.00 , $3.13 ,https://www.amazon.in/Ntag216-Tag-Rewritable-Universal-Compatibility/dp/B0F88Y7X56/ref=sr_1_1_sspa?crid=6ZUV50P7DFH2&dib=eyJ2IjoiMSJ9.jcmYK96vZ0xxUQlX9IelL9W_FqMBA-shnjJxez356yteVSBIhYzEtOMzV82G7xECQea81FckvjwYOjww1pfzQgbq48E5e2xeV5uwxiZl66za_nLcwX4TWcJEPXSkgptDXf_J0ufL_LxbUzEtjvCDrgfGS7fm3yIQJuGFhwr3AFe7T77qvSH9lYpRsmaOW8_iS3k_AngR5UxyNHdAidRSdlIds_NtR-FPGi1f6y-oGByR5FlxHWY3ziS5LiA2ip-rhmJvj40U_kr1t9pof5eQIabcmNNSwBdpPHsd6Ahs_W8.QX2LkEjPAjRvnM4RkzZZnrLVfEeTlKinyOdRUZScdy8&dib_tag=se&keywords=nfc+sticker+NTAG216&qid=1770974987&sprefix=nfc+sticker+ntag216%2Caps%2C791&sr=8-1-spons&aref=TtJC6QaBEJ&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
